starttime,endtime,label,date,max_prob,mean_prob
12740.0,12820.0,surface,2025-07-02,0.614565351838246,0.3691817660785293
12830.0,12910.0,surface,2025-07-02,0.7287214607000352,0.43395167431703574
14780.0,14880.0,surface,2025-07-02,0.5876085489988327,0.3594961581910783
16520.0,16620.0,surface,2025-07-02,0.5475184321403503,0.32600586344484656
17130.0,17300.0,surface,2025-07-02,0.7411853194236756,0.45426657471042653
17440.0,17500.0,surface,2025-07-02,0.5023878797888757,0.3494099112188581
17580.0,17690.0,surface,2025-07-02,0.6474420562386513,0.4167824345485618
17950.0,18090.0,surface,2025-07-02,0.6349579736590385,0.31967649762053046
18750.0,18830.0,surface,2025-07-02,0.8735803484916688,0.5260042979466057
18860.0,18930.0,surface,2025-07-02,0.538045608997345,0.36852373209562594
19770.0,19850.0,surface,2025-07-02,0.6192801393568516,0.3769411503414934
22230.0,22310.0,surface,2025-07-02,0.561163866519928,0.3576259970152529
22870.0,23020.0,surface,2025-07-02,0.730885398387909,0.43994334622442466
24600.0,24660.0,surface,2025-07-02,0.6269606709480285,0.4296966251983054
24930.0,25040.0,surface,2025-07-02,0.695052969455719,0.3593972815326803
0.0,70.0,surface,2025-07-02,0.7843779398128391,0.35901118207257243
250.0,370.0,surface,2025-07-02,0.5732051242142916,0.3560612624647967
510.0,690.0,surface,2025-07-02,0.5539518520236015,0.3221604460476944
1710.0,1780.0,surface,2025-07-02,0.5075685147196054,0.31221554970265686
390.0,450.0,surface,2025-07-02,0.538077837228775,0.38665265244864194
1770.0,2030.0,surface,2025-07-02,0.9999591469764709,0.6994029308738255
2180.0,2250.0,surface,2025-07-02,0.5069815576076508,0.32576780106375625
6540.0,6620.0,surface,2025-07-02,0.5601136088371277,0.3358825467766211
7430.0,7510.0,surface,2025-07-02,0.5394959717988969,0.31201063658379813
8120.0,8300.0,surface,2025-07-02,0.7231190443038942,0.41354279885540324
8930.0,9030.0,surface,2025-07-02,0.50529904961586,0.33950348673150244
3570.0,3660.0,surface,2025-07-02,0.9734229564666748,0.5334235060837818
4460.0,4550.0,surface,2025-07-02,0.7889647483825684,0.47892974546222955
5440.0,5550.0,surface,2025-07-02,0.7634477734565736,0.4648843499473881
8950.0,9010.0,surface,2025-07-02,0.5243801467120647,0.36808084957800535
10620.0,10720.0,surface,2025-07-02,0.9704521298408508,0.5739333705697472
12260.0,12340.0,surface,2025-07-02,0.5866988390684128,0.3621338244827005
15990.0,16060.0,surface,2025-07-02,0.6170942146331073,0.3746465441128469
17840.0,17910.0,surface,2025-07-02,0.5293886490166188,0.337237915941023
18870.0,18940.0,surface,2025-07-02,0.5175589893013239,0.32024497611710107
21060.0,21150.0,surface,2025-07-02,0.8792629301548004,0.5225250037831967
22530.0,22650.0,surface,2025-07-02,0.9667592763900758,0.5724715098040178
24390.0,24460.0,surface,2025-07-02,0.6724011421203613,0.42155340304852873
25340.0,25420.0,surface,2025-07-02,0.6937652260065079,0.40450575277463074
26110.0,26210.0,surface,2025-07-02,0.5213794991374017,0.3450120295376771
27630.0,27710.0,surface,2025-07-02,0.6859415590763093,0.38969490258766454
28880.0,29000.0,surface,2025-07-02,0.8860862135887146,0.48140328905400465
